Project Name,Writing,Cinematography,Directing,Original Score,Acting,Editing,Sound,Special Effects,Art Direction,Phase,NonMemPct,MemPct,AudncPct,Round,Ballots,CrewCount
A Girl Named Khan,8.06%,3.94%,8.63%,10.61%,5.91%,6.59%,6.98%,3.23%,12.50%,1,15.83%,17.27%,16.27%,29,281,37
An Unusual Trade,3.32%,13.79%,4.57%,10.06%,5.91%,8.24%,2.33%,0.54%,2.17%,1,7.50%,10.95%,8.53%,29,281,21
Evergreen,11.85%,37.93%,19.29%,43.58%,14.29%,20.88%,22.67%,21.51%,42.93%,2,25.66%,25.81%,25.75%,29,281,98
Give Me Danger,7.58%,1.97%,3.55%,2.23%,0.99%,1.65%,4.07%,1.08%,2.17%,1,8.65%,6.33%,7.95%,29,281,31
"Guillaume; or, The Chauffeur",24.17%,18.72%,15.23%,4.47%,17.24%,11.54%,15.12%,4.30%,8.70%,2,26.75%,30.32%,28.93%,29,281,16
Immersive Cinema Demo,0.00%,0.49%,1.52%,0.56%,0.49%,2.75%,3.49%,27.42%,1.63%,1,1.35%,4.14%,2.19%,29,281,15
Indie Go Kickstart Me,2.37%,0.49%,0.51%,1.12%,1.48%,2.75%,0.58%,2.69%,1.09%,1,11.15%,16.55%,12.76%,29,281,18
Living the Dream,9.00%,6.90%,10.15%,10.61%,8.87%,12.64%,10.47%,3.23%,4.89%,1,21.15%,15.09%,19.33%,29,281,41
Overhead,5.21%,0.99%,3.05%,2.23%,0.49%,4.40%,5.81%,15.59%,3.80%,1,13.85%,18.73%,15.32%,29,281,50
Rory,8.53%,5.42%,9.14%,4.47%,14.29%,5.49%,8.14%,15.59%,5.98%,2,16.01%,15.23%,15.54%,29,281,21
Teen Chef USA Kickstarter,0.47%,0.49%,1.52%,0.56%,0.49%,2.75%,2.33%,1.08%,1.09%,2,2.85%,0.56%,1.46%,29,281,25
The Drop,13.27%,2.46%,13.20%,2.23%,18.72%,12.64%,7.56%,0.54%,1.63%,2,26.97%,25.39%,26.01%,29,281,25
The Last Sentence,2.84%,4.43%,2.54%,5.03%,3.94%,3.30%,3.49%,0.54%,9.24%,1,11.67%,8.76%,10.80%,29,281,17
Whose Ride Is It Anyway? Episode 1,2.84%,1.97%,6.09%,1.68%,5.91%,3.30%,2.33%,1.61%,1.09%,1,8.85%,2.19%,6.86%,29,281,18
Cake Walk Series - Episodes 1-3,14.77%,11.76%,16.96%,32.12%,19.32%,15.48%,15.57%,7.47%,12.14%,2,38.08%,37.65%,37.83%,28,223,52
Condemnation,3.41%,13.53%,4.09%,5.45%,10.80%,1.79%,8.98%,1.72%,0.00%,1,7.29%,11.18%,8.88%,28,223,14
Creep,2.84%,33.53%,12.28%,11.52%,6.82%,20.83%,31.14%,41.95%,27.75%,1,28.72%,25.95%,27.59%,28,223,11
My Buddy and Me,2.27%,5.29%,4.09%,12.73%,3.98%,10.12%,5.39%,2.30%,5.78%,1,11.37%,7.81%,9.91%,28,223,7
Pet Rock: The Movie,5.11%,2.35%,6.43%,3.03%,5.11%,2.98%,1.20%,0.57%,2.31%,1,8.31%,8.02%,8.19%,28,223,14
Powerball Chefs,2.84%,7.65%,4.09%,1.21%,1.14%,4.17%,4.79%,1.15%,7.51%,2,20.71%,21.91%,21.40%,28,223,24
Qubitpunk,8.52%,8.24%,10.53%,10.91%,3.41%,17.26%,14.97%,29.89%,28.90%,1,15.01%,25.32%,19.22%,28,223,43
Sexy Little Kitten Music Video,0.00%,0.59%,1.17%,7.88%,0.57%,1.79%,4.19%,1.15%,0.58%,1,2.33%,1.05%,1.81%,28,223,3
The Featherstone Method,30.68%,8.82%,32.16%,8.48%,36.36%,10.71%,7.78%,2.87%,5.78%,2,41.21%,40.43%,40.76%,28,223,33
The Text,15.34%,1.76%,5.26%,1.82%,9.09%,4.76%,2.40%,1.15%,1.16%,1,13.41%,10.76%,12.33%,28,223,18
Unintended Consequences,14.20%,6.47%,2.92%,4.85%,3.41%,10.12%,3.59%,9.77%,8.09%,1,13.56%,9.92%,12.07%,28,223,15
An American Christmas,13.33%,7.11%,14.63%,8.84%,20.95%,7.82%,7.62%,3.45%,18.34%,2,28.08%,24.23%,25.62%,27,350,30
Chandu 2,1.18%,1.19%,0.81%,1.40%,2.37%,1.23%,4.48%,0.86%,2.62%,1,2.98%,3.53%,3.13%,27,350,45
Dog Days,6.67%,2.77%,4.47%,9.30%,1.58%,4.94%,5.38%,17.67%,4.80%,1,17.15%,12.27%,15.79%,27,350,5
E.Z.P.Z.,15.69%,7.11%,15.85%,11.16%,18.18%,11.52%,12.56%,12.93%,14.41%,1,15.70%,17.26%,16.13%,27,350,60
Home Movies,7.84%,3.56%,6.10%,4.19%,15.02%,9.05%,6.28%,6.47%,4.37%,1,12.88%,18.09%,14.34%,27,350,11
Life is a Dance Floor,0.78%,28.85%,1.22%,11.63%,0.79%,3.29%,9.42%,15.09%,16.16%,1,8.29%,9.98%,8.76%,27,350,10
Making The Mah Jongg Game,6.67%,7.11%,12.20%,6.98%,6.72%,11.93%,10.76%,2.16%,5.68%,1,14.49%,14.55%,14.51%,27,350,65
Reviving the Rice Mother,11.37%,24.11%,10.16%,16.28%,1.58%,22.63%,22.87%,3.88%,5.68%,2,31.28%,30.90%,31.03%,27,350,23
Scallywags,14.51%,6.32%,15.04%,6.98%,15.42%,6.17%,6.73%,15.09%,12.23%,2,20.09%,19.23%,19.54%,27,350,50
Seven Miles Out,4.31%,2.77%,7.72%,7.91%,2.37%,7.41%,4.48%,3.88%,5.24%,2,5.02%,10.90%,8.78%,27,350,61
Shelter,4.31%,3.16%,3.66%,9.30%,6.72%,4.53%,3.59%,1.29%,1.31%,1,7.73%,4.16%,6.73%,27,350,34
The Dialog,0.78%,1.98%,0.00%,3.26%,1.58%,0.00%,2.24%,14.22%,6.99%,1,1.53%,1.46%,1.51%,27,350,5
The Forgotten Neighborhood,0.78%,0.40%,0.81%,0.47%,1.19%,2.47%,0.45%,0.43%,0.00%,1,4.99%,2.29%,4.24%,27,350,6
The Right to Remain Silent,8.63%,2.37%,6.50%,0.93%,5.14%,4.12%,1.35%,2.59%,1.75%,1,14.25%,16.42%,14.86%,27,350,61
Trans Justice,3.14%,1.19%,0.81%,1.40%,0.40%,2.88%,1.79%,0.00%,0.44%,2,15.53%,14.74%,15.02%,27,350,15
As Seen On TV!,14.52%,17.14%,18.42%,17.75%,19.64%,12.56%,13.02%,8.00%,29.57%,1,16.60%,21.90%,18.05%,26,356,42
Focus,14.18%,18.17%,15.11%,9.86%,21.13%,24.01%,13.39%,8.96%,21.44%,1,24.55%,31.57%,26.47%,26,356,49
Friend Request,4.05%,3.77%,2.95%,1.18%,4.82%,1.11%,2.23%,0.64%,2.22%,1,3.36%,2.19%,3.04%,26,356,15
Grandmama Tlzédeczkanü Comes to America,25.32%,1.71%,2.21%,3.95%,1.11%,7.76%,4.84%,1.60%,8.13%,1,14.88%,20.80%,16.50%,26,356,5
Guilt,17.90%,9.94%,22.84%,20.12%,15.57%,10.34%,16.37%,3.52%,5.54%,1,19.20%,7.30%,15.95%,26,356,43
Home is a Hotel,5.47%,13.89%,5.97%,3.20%,1.00%,11.97%,5.53%,0.86%,1.00%,2,53.33%,61.59%,58.66%,26,356,11
Into the Fear,1.69%,1.37%,2.21%,3.16%,1.11%,1.85%,1.12%,0.64%,1.11%,1,2.06%,0.73%,1.69%,26,356,10
Mind City Terror!,7.75%,14.81%,15.92%,21.84%,13.01%,17.46%,27.13%,52.73%,23.96%,2,46.67%,38.41%,41.34%,26,356,76
Portapotty of Darkness,3.38%,3.77%,5.16%,1.58%,8.90%,5.91%,2.23%,0.64%,1.48%,1,8.30%,8.76%,8.42%,26,356,9
Telepresence Choir Performance,0.34%,0.34%,0.00%,6.31%,0.00%,0.00%,4.84%,0.32%,0.00%,1,0.82%,0.73%,0.80%,26,356,11
The Promise,0.00%,0.69%,0.37%,0.39%,0.37%,0.74%,0.00%,0.32%,0.37%,1,1.37%,0.36%,1.10%,26,356,22
The Someone,5.40%,14.40%,8.84%,10.65%,13.34%,6.28%,9.30%,21.76%,5.18%,1,8.85%,5.66%,7.98%,26,356,35
